name,latitude,longitude
West Bay,10.6,92.36668
Hut Bay,10.63333,92.60003
Woodmason Bay,11.4236198,92.5978148
Constance Bay,11.6947466,92.5839636
Port Mouat,11.6252245,92.6221118
Minto Bay,11.3,92.71667
Portman Bay,11.40001,92.66667
Corbyn's Cove,11.6428864,92.7475489
Flat Bay,11.6426354,92.6785301
North Bay,11.70001,92.75004
Semiramis Bay,11.6959141,92.7309429
Casuarina Bay,13.25001,92.85003
Sawai Bay,9.2288368,92.7554693
Jaffna Lagoon,9.5393896,80.2955103
Back Bay,18.9405546,72.8117913
Unnamed Bay,34.1117552,72.7118904
Unnamed Bay,34.1252214,72.7361775
Unnamed Bay,34.1163644,72.7175098
Unnamed Bay,34.1233272,72.7442115
Unnamed Bay,34.1094931,72.7081172
Unnamed Bay,34.1214069,72.7263799
Unnamed Bay,34.1176316,72.719391
Unnamed Bay,34.1192776,72.7212852
Ganges Harbour,7.2258188,93.7780176
Phoenix Bay,11.675567,92.7330991
anakatta,18.4030609,79.1797054
Colombo Harbour,6.9646289,79.8564409
Northeast Breakwater,6.9614005,79.8547682
Dutch Bay,8.5700467,81.2386886
Manayaweli Bay,8.5615509,81.2435634
Town Bay,8.5722337,81.224841
Powder Bay,8.5677105,81.2136343
Cod Bay,8.5718272,81.199663
China Bay,8.5601531,81.1985877
Maly Cove,8.5447763,81.1927856
Clappenburg Bay,8.5321503,81.2025882
Dead Man's Cove,8.5393769,81.2001052
Sweat Bay,8.5203892,81.2092233
Marble Bay,8.5127799,81.2122049
Tambalagam Bay,8.5213299,81.1625803
Koddiyar Bay,8.4886116,81.2401023
Palk Bay,9.3229187,79.8488668
Padukere River Estuary,13.4595286,74.6997591
ကြွေမျောက်,16.5275839,94.2419765
Mahim Bay,19.0314502,72.827425
Haji Ali Bay,18.9837132,72.8104734
Chhath Ghaat,25.4988019,84.6508796
Neil's Cove,11.9865602,92.9398052
Neil's Cove,11.9868601,92.9397283
Aattutheeram Walking Bay,9.8640514,76.4781216
backwaters,9.6936902,76.4035487
Vaduthala Kadavu,10.0195492,76.270237
Gulf of Kutch,22.6612804,69.7625581
Kakinada Bay,16.9231509,82.304077
Hm Marjan Sea Point,20.7550503,92.3466273
Hukitola Bay,20.4351181,86.7508433
Chapora Bay,15.6146055,73.7436675
Suryalanka Beach Estutary,15.8527074,80.5396564
Unnamed Bay,7.6394995,81.6872939
Baina Bay,15.3860394,73.8037061
Mormugao Bay,15.4107402,73.8057661
"DBBL Rocket and Agent Bank Office, Bank",24.9288444,89.9467583
Unnamed Bay,11.5914111,92.2291517
Unnamed Bay,11.5192189,92.2486781
Unnamed Bay,11.5166327,92.2669279
Mormugao Bay,15.4317563,73.8126754
Aguada Bay,15.4812681,73.7857246
Unnamed Bay,27.7909151,68.6756884
Unnamed Bay,25.2677485,68.3374874
Kumbalanghi,9.8757517,76.2892152
Unnamed Bay,24.4745583,75.2158386
Unnamed Bay,27.639497,85.5877632
Arugam Bay,6.8504359,81.8367368
Dohazari Boat Service দোহাজারী নৌকা পরিষেবা,22.159636,92.0668796
Unnamed Bay,21.4632522,91.9532742
Chulliar reservoir,10.5862871,76.7730188
Unnamed Bay,28.8277735,81.6795348
Unnamed Bay,12.4441382,92.8735037
Unnamed Bay,12.4267555,75.0227143
Unnamed Bay,26.5084729,92.3867642
Unnamed Bay,14.1868657,93.3609103
Unnamed Bay,14.8998136,93.643116
Unnamed Bay,14.1921336,93.3677507
Unnamed Bay,12.00712,75.3520368
Unnamed Bay,35.4842546,93.4979341
Bus Bay,17.3310532,78.7245719
Unnamed Bay,11.8857543,75.8392749
Hukitola Bay,20.4462609,86.7700114
Mahuva Bay,21.0473914,71.7587668
Unnamed Bay,9.5591575,80.1782244
Unnamed Bay,26.2188068,92.1284079
Itwazar Bazar,33.9698056,71.4426535
Gulf of Mannar / මන්නාරම් බොක්ක / மன்னார் வளைகுடா,7.6672092,78.8655262
安琪湾,33.695503,78.9339003
Phursook Bay - 红柳湾,33.6719162,78.7328512
鸭咀湾,33.670138,78.7425289
Gulf of Khambhat,21.721129,72.4268116
Bay of Bengal,14.2200738,86.9016006
