name,latitude,longitude
Samudra Beach,8.3962303,76.9732065
ACHRA BEACH,16.178434,73.4419682
Colva Beach,15.2756507,73.9137265
Arossim Beach,15.3351328,73.8929125
Nattika Beach,10.4199651,76.0822793
Arnala Beach,19.4508895,72.748848
Sanguthurai Beach,8.100211,77.4252729
Cansaulim Beach,15.3267818,73.8960344
Utorda Beach,15.3196353,73.898934
Fatrade Beach,15.2079045,73.9326021
Varca Beach,15.2321443,73.9259238
Betalbatim Beach,15.2931923,73.9077452
Zalor Beach,15.2006619,73.9345138
Sunset Beach,15.3010263,73.9050309
Unnamed Beach,17.5450936,73.5057366
chettuwa azhimugam,10.5089029,76.0398722
Choottad Beach,12.0024529,75.2538756
Elephant Beach,12.0113061,92.949336
Aguada Rocky Beach,15.4918737,73.768097
Unnamed Beach,32.2822348,77.1552603
Cove Kagala,14.5099467,74.3585747
Taj Resort Private Beach,11.9834073,92.9551754
Unnamed Beach,21.24276,81.5953405
Unnamed Beach,12.0104534,75.2140134
Baby Beach,11.858941,75.3602352
Unnamed Beach,11.6210851,92.616804
Unnamed Beach,9.3113977,76.3818124
Unnamed Beach,12.7960202,74.8467101
കാര ബീച്,10.233344,76.1458495
kattoor beach,9.5582204,76.3054694
Arattuvazhi Beach,8.5544406,76.8498357
Unnamed Beach,11.3943034,75.7133053
Unnamed Beach,8.6117224,76.8032985
Unnamed Beach,9.532458,76.3095994
Unnamed Beach,9.5199189,76.3118486
Chettikulam Anuvijay Beach,8.1558865,77.6345854
Pallithura Beach,8.546367,76.8563746
"Muthalappozhi (Crocodile) Beach, Perumathura",8.6309114,76.7859878
Unnamed Beach,9.4940772,76.3177605
Unnamed Beach,9.5808444,76.3013886
Unnamed Beach,9.5127431,76.3134384
Azhithala Beach,12.2024369,75.1199059
Unnamed Beach,12.336627,75.0644404
Unnamed Beach,9.2582867,76.4070859
Unnamed Beach,12.593758,74.9369096
Unnamed Beach,12.6086257,74.9300743
Unnamed Beach,8.7893078,76.6828828
Bordi Beach,20.0997836,72.7326657
Unniyal Beach,10.9183312,75.8823613
Dwarka Beach,22.237475,68.9625617
Unnamed Beach,14.0460053,80.1452663
Coastal Guard Police Station,10.911478,79.8423591
Mannalamkunnu Beach,10.65777,75.9692985
CHIMBAI BEACH,19.0562212,72.8237183
Unnamed Beach,16.0629425,73.4550068
Unnamed Beach,10.0277262,76.6580191
Unnamed Beach,10.5493385,92.5438128
Unnamed Beach,9.7479386,76.2841375
Unnamed Beach,10.0484426,76.2050004
Unnamed Beach,9.4894998,76.31866
Unnamed Beach,26.2978102,75.709243
ozhinjavalappu beach,12.2650614,75.0945468
Unnamed Beach,11.8533211,75.3647805
Unnamed Beach,10.6743232,75.9612633
Kala Patthar Beach,11.9797046,93.0167555
Unnamed Beach,27.156231,74.5445444
Serenity,11.97058,79.8446243
Unnamed Beach,17.7818938,83.3860873
Pulicat Beach,13.4209255,80.3283291
Calm Beach,13.4079683,80.3288334
Koraikuppam Beach,13.3823151,80.3335171
Green Beach,13.3634355,80.338449
Nandagaon Beach,19.7595197,72.6851114
Puthupattu Beach,12.0519005,79.8787339
Hollywood Farm Beach,12.0439669,79.8749586
Kalapet beach,12.0285136,79.8674431
kodikal beach,11.477731,75.6173485
Arupadaiveedu Temple Beach,12.9890268,80.269678
Perumpally,9.1668435,76.4493693
Butterfly beach,15.0195635,74.001783
Firefly beach,15.0183013,74.0069766
Rocks Beach,19.1302869,72.8131105
Blue Flag Beach,12.8023552,80.248694
Promenade,11.9321674,79.8360554
Unnamed Beach,30.72281,76.8614514
Kollam Beach,8.8737809,76.5928666
Kovalam Beach,8.3950997,76.9729934
Tondavali-Talashil Beach,16.1198143,73.4572187
Hamsaladeevi / Palakayatippa Beach,15.9568327,81.1151262
Potti Subbaiaha Palem  Beach,15.7522105,80.3482439
Vodarevu Beach,15.7942976,80.4127953
Dhaya Sea View Point,11.9460581,79.838507
Pondy Sunrise Beach,11.946103,79.8380746
Onturu Beach,18.9434486,84.6588816
Kothapeta Beach,18.604179,84.3765745
Bhavanapadu Beach,18.5702263,84.3568995
Geddalapadu Beach,18.4760057,84.2557067
Unnamed Beach,27.0726421,94.2996665
Unnamed Beach,27.0766924,94.2960746
Unnamed Beach,26.9522208,94.7045625
Eden Beach - Blue flag Beach,11.8814489,79.8243838
Unnamed Beach,26.4205569,92.8613147
Thanthadi Beach,17.5256033,83.0651442
Beach View Point,17.5253231,83.0661245
Rambilli Beach,17.445919,82.9304908
Odalarevu Beach,16.4133333,81.9772632
Kihim Beach,18.7242274,72.8646857
Awas Beach,18.7660584,72.8645629
Alibag Beach,18.6391092,72.8717996
Puthupattinam Beach,10.2847747,79.331671
Chirala beach,15.7754894,80.3828623
DASHASWAMEDH GHAT,25.4442376,81.8852899
custom,21.2017711,72.8388582
IISER Beach,19.1967799,84.8438966
Kodi Beach Sasthan,13.4844203,74.6885085
Kattady Beach Chethy,9.6192943,76.2957682
Chethy beach,9.6230559,76.2952209
Ramachandrapuram  Beach,15.7205113,80.3130599
Suryalanka Beach,15.8398861,80.5088304
Dokulapadu Beach,18.7124474,84.4666433
Unnamed Beach,20.9453792,71.5113432
"Marina Beach,Chennai",13.0533969,80.2833328
"Mahabalipuram Beach, Tamil nadu",12.6092262,80.1956658
"Covelong Beach,Tamil Nadu",12.7721654,80.2519111
Marine Beach,17.9320754,73.0543183
Okha Madhi Beach,22.0830459,69.1018142
Unnamed Beach,12.8540232,74.8319651
Metweld,23.0781911,72.5031213
Dwarka Beach,22.2346361,68.9664007
mobai,18.3176354,74.3769741
Muthu Nagar New Beach,8.8075229,78.1622319
New Wandoor,11.595935,92.6080554
Unnamed Beach,24.8042022,85.0193866
chhath ghat,25.7258534,85.1805293
Unnamed Beach,16.9511152,82.2655057
kappil,12.4258699,75.0112564
trikkanad beach,12.4117837,75.0214056
kodi beach,12.4206931,75.013568
Star Inn Resort,21.6632741,87.7043328
NITK Beach,13.0140453,74.7877809
Unnamed Beach,12.8629032,74.8200474
Guhagar Beach,17.4854379,73.1864809
Niladri Beach,19.7979799,85.8355354
Munakkal Beach,10.180663,76.1619929
Chintapalli beach,18.0735501,83.6572565
Unnamed Beach,8.55175,76.8522517
Kothakulam Beach,10.3856054,76.0960345
Pebble beach,34.8499481,76.8277724
Mukka,13.0348196,74.7838364
Marina Beach,13.0525821,80.2848399
Santhome Beach,13.0260614,80.2785099
Cherai Beach,10.1441876,76.1773418
Girgaum Chowpatty Beach,18.9543869,72.8114236
Bogmalo Beach,15.3695215,73.8326852
Manori Aum Beach,19.2037523,72.7832414
Mahim Beach,19.0440764,72.8381529
Unnamed Beach,16.8273637,73.2961759
Unnamed Beach,16.8658117,73.2932791
Bhatye Beach,16.9745264,73.2944083
Valmiki Nagar Beach,12.9789844,80.2676515
Ramakrishna Beach,17.712103,83.3221954
Unnamed Beach,17.0705958,80.1591758
Unnamed Beach,17.0756992,80.1610292
Unnamed Beach,17.0341054,80.1663856
Unnamed Beach,17.0322024,80.168962
Unnamed Beach,17.0150527,80.1670993
Unnamed Beach,17.0612936,80.1579693
Unnamed Beach,16.9991875,80.1749673
Unnamed Beach,17.0515121,80.1581902
Unnamed Beach,17.0460505,80.1645093
Unnamed Beach,17.0875173,80.1701043
Unnamed Beach,16.866931,80.2754478
Unnamed Beach,16.8472248,80.2812632
Unnamed Beach,16.8282131,80.2906586
Unnamed Beach,16.8265625,80.2947013
Unnamed Beach,16.8581087,80.2803741
Unnamed Beach,16.8341329,80.284985
Unnamed Beach,16.8421296,80.2846492
Unnamed Beach,16.8755082,80.2760995
Unnamed Beach,16.8170011,80.293526
Gahirmatha Beach,20.6416521,86.9396254
Miramar Beach,15.4766808,73.8067377
Unnamed Beach,15.4586296,73.7939933
Unnamed Beach,15.4592887,73.7928479
Marivel Beach,15.4558278,73.7976608
Hawaii Beach,15.4547269,73.805504
Vanguinim Beach,15.4550028,73.814312
Unnamed Beach,15.4545441,73.8216489
Unnamed Beach,15.4535949,73.8283039
Unnamed Beach,15.454271,73.8256079
Odxel Beach,15.4523454,73.8327446
Cacra Beach,15.4506547,73.8374498
Odxel,15.453577,73.8300142
Unnamed Beach,15.4515883,73.8348366
Unnamed Beach,15.4502535,73.8431369
Ozran Beach,15.5939779,73.7341296
Small Vagator Beach,15.5976558,73.7336081
Big Vagator Beach,15.6022668,73.7334766
Cansaulim beach,15.354845,73.881309
Unnamed Beach,12.6179682,80.1986584
Unnamed Beach,12.6129171,80.197992
Unnamed Beach,19.2678524,72.783935
Kollam Beach,8.8743069,76.5892033
Papanasam Beach,8.7360844,76.702566
Unnamed Beach,30.1252195,78.3300787
Unnamed Beach,30.1342148,78.338581
Subramaniya Swamy Kovil Beach,8.4925148,78.127172
Thiruchendur Beach,8.477737,78.1134595
Triveni Sangam,8.0779651,77.550625
Anjuna Beach,15.576145,73.7398429
Sinquerim beach,15.5013628,73.767299
Unnamed Beach,15.5676338,73.7418238
Dream Beach,15.6058279,73.7327886
Aguada Beach,15.4989471,73.7671188
Chapora beach,15.6067975,73.7394997
Aguada Beach,15.4979401,73.7662836
Agonda Beach,15.0413681,73.9854405
Patnem Beach,14.9969971,74.0322483
Rajbag Beach,14.9890916,74.0370853
Manappadu Beach,8.3704263,78.0589416
கொட்டிவாக்கம் கடற்கரை,12.9697602,80.2657106
Unnamed Beach,12.9602334,80.263616
കോവളം ബീച്ച്,8.388753,76.9751294
Palm Shore Beach,8.3817866,76.98238
Unnamed Beach,23.6811263,68.5268057
Unnamed Beach,22.8285223,69.2851492
Mandvi Beach,22.8259809,69.3292857
Juhu Beach,19.102949,72.8230573
Coco Beach,15.4997793,73.7901818
Unnamed Beach,11.4243762,76.6642427
Unnamed Beach,11.4220489,76.6681389
Unnamed Beach,11.4220792,76.6679877
Unnamed Beach,11.4245635,76.6642999
Unnamed Beach,11.4218682,76.6680581
Unnamed Beach,11.4219444,76.6680203
Morjim Turtle Beach,15.6218704,73.7308118
Ashvem Beach,15.6494061,73.7163789
Unnamed Beach,13.5792062,74.6747739
Unnamed Beach,30.1241329,78.318478
kottapuram beach,10.5914166,75.9980844
Murudeshwara Beach,14.0971544,74.4862533
Rabindranath Tagore Beach,14.8167402,74.1246754
Gomtimata Beach,20.7084154,70.8846297
Kodidhar Beach,20.7018514,70.9111146
Nagoa Beach,20.7066718,70.9192439
Lonesome Beach,20.7030357,70.8990428
Surathkal Beach,12.9994666,74.7908637
Unnamed Beach,11.570628,92.269649
Unnamed Beach,11.5944418,92.219015
Unnamed Beach,11.5946159,92.2144196
Kapu Beach,13.2187322,74.7386801
Nandivade Beach,17.2862905,73.2023765
Unnamed Beach,17.2388402,73.2329247
Unnamed Beach,17.1619307,73.2611637
Unnamed Beach,17.2667126,73.2208679
Ullal Beach,12.8115099,74.8410962
Unnamed Beach,17.2510874,73.227514
Unnamed Beach,17.2160035,73.2432135
Malgund Beach,17.1791555,73.2549766
Kalacha Beach,15.6979108,73.6971366
Mandrem Beach,15.6600908,73.7136985
Harmal Beach,15.6793153,73.705762
Chavakkad Beach,10.5695713,76.0088967
Unnamed Beach,14.8584114,74.1518488
Aksa Beach,19.1854466,72.7956837
Versova beach,19.1300516,72.8133526
Madh Beach,19.151039,72.7867132
Unnamed Beach,19.1400704,72.8047003
Unnamed Beach,19.6810929,72.7065563
Unnamed Beach,19.7004204,72.7098865
Unnamed Beach,19.6874077,72.7086371
Unnamed Beach,19.7130538,72.7060528
புதுச்சேரி கடற்கரை,11.9329732,79.8361459
La plage de Pondichéry,11.9266801,79.8348185
Unnamed Beach,11.9239188,79.8341009
Unnamed Beach,12.640806,80.2043702
Corbyns Cove Beach,11.6428293,92.746873
Unnamed Beach,10.5153046,92.4924374
Unnamed Beach,15.9474406,75.8180417
Unnamed Beach,17.2739866,73.2140305
Lighthouse Beach,8.3853265,76.978087
Marjoda Beach,15.3200372,73.8983101
Unnamed Beach,15.2447905,73.9232375
Unnamed Beach,15.242586,73.9236404
Unnamed Beach,15.2425961,73.9238972
Unnamed Beach,15.242476,73.9234977
Unnamed Beach,15.2426375,73.9244646
Unnamed Beach,15.2433261,73.9235345
Unnamed Beach,15.2448038,73.9236645
Unnamed Beach,15.2416052,73.9244445
Unnamed Beach,15.2422082,73.924209
Unnamed Beach,15.2419209,73.9243271
Unnamed Beach,15.2453951,73.9234802
Akshi Beach,18.6248851,72.888958
Nagaon Beach,18.5950309,72.9022415
Revadanda Beach,18.5625563,72.9174191
Unnamed Beach,18.6653492,72.8646404
