name,latitude,longitude
Chatham Islet,13.3182816,93.0183304
Vypin Island,10.08322,76.21662
Kokkal,12.159777,75.149838
Kalijai Island,19.6654644,85.2140531
Red Crab Island,19.6593228,85.4968894
Sholo Island,19.5691412,85.1490383
Breakfast Island,19.5541842,85.1466862
Gopakuda Island,19.5767032,85.144857
Barakuda Island,19.5536509,85.1304608
Bhasramundia Island,19.5991923,85.1336516
Ghantashila Island,19.5171158,85.1347458
Vivekananda Rock Memorial,8.0783202,77.5549562
Tortoise Rock,8.0774113,77.5512106
The Island,13.0752882,80.2790085
Arbesi Island,22.1209293,89.0113201
Bally,22.1343094,88.7745177
Bob Island,21.5742888,88.8612172
Chamta Island,21.8662073,88.8891772
Chandkhali Island,21.8495013,88.9834629
Chotahardi Island,21.7456418,88.7318915
Harinbhanga Island,21.9564654,88.9646058
Jhilla Island,22.117356,88.9517486
Khatuajhuri Island,22.0224328,89.0130344
Mouchar Island,21.7157832,88.4957486
Pancha Mukhani Island,21.9858763,88.8240343
দক্ষিন তালপট্টি,21.6079963,89.1874617
Quibble Island,13.020155,80.2702324
કુંવર બેટ,24.0044125,69.729418
Piram Bet,21.5990282,72.3547665
সেন্ট মার্টিন দ্বীপ,20.6284352,92.3218832
Kanika Sand Island,20.8061789,87.0175493
Asus,21.5999631,74.5338299
Karativu,9.7367996,79.8733585
ટેકરા,22.9345872,70.1254692
Iranaitivu (North),9.2914766,79.9801151
Iranaitivu ( South),9.280574,80.0009867
ဂေါ်ရင်ဂျီ,16.5328048,94.2454104
Karu Island,32.0173916,75.9856939
Ransar Island,31.9884227,76.0061216
Samad Poultry Farm সামাদ পোলট্রি খামার,24.7402691,88.2932362
Bukkur Island,27.6844991,68.8477133
Raghopur Island,25.5616766,85.3680703
ছেঁড়া দ্বীপ,20.5809886,92.3376714
Unnamed Island,16.9904243,82.2420862
Breakfast Islet,19.5242825,85.117969
পুটুনির দ্বীপ,21.7046435,89.3406462
তিনকোনা দ্বীপ,21.929436,89.5584732
Unnamed Island,23.9701483,82.5902152
Unnamed Island,23.9689915,82.5893783
Manka island,11.765525,75.4756168
Khengarji Bet,23.0086484,70.1822088
ফাতরার চর,21.8953601,90.0581278
Unnamed Island,6.828868,80.5568673
Unnamed Island,17.7496419,94.5257906
Unnamed Island,17.7652723,94.4931386
Unnamed Island,17.7596405,94.4837298
Bhaidar Tapu,22.4621979,69.3112408
Malhar Char,22.2519621,89.8588926
Sri Krishna Priyam Dweep,11.9532363,92.7245739
North Sentinel Island,11.5561471,92.2412634
peevinea talav island,25.6243429,74.923348
Green Islet,19.2410839,72.7666273
Viva Island,19.1333444,72.7735806
Unnamed Island,16.5426848,96.271534
Nedunthivu,9.5152542,79.6910809
Mulli,9.1864646,78.9684606
Unnamed Island,9.8994678,76.3339596
Kakkathuruth,9.816834,76.3258657
Unnamed Island,9.9039356,76.3109909
Perumbalam,9.8521529,76.3596314
Sathar island,10.1879957,76.1876702
Gorabir Bet,23.7362973,70.3801547
Kakindiya Bet,23.7765879,70.3859067
Karabir Bet,23.7305738,70.4211626
Gangta Bet,23.7400569,70.4944181
Unnamed Island,20.9133266,71.5467265
Savaibet Island,20.9047524,71.5274099
Unnamed Island,20.9084144,71.5155284
Pānikota Island,20.7605406,71.1526475
Unnamed Island,21.7260401,73.0813839
Unnamed Island,21.0515135,72.7910408
Unnamed Island,21.081257,72.8006452
Unnamed Island,21.6750165,72.8780838
Unnamed Island,21.0565026,72.770589
Unnamed Island,21.0370062,72.8180507
Wadhiv,19.5308206,72.8582167
Ilha Grande,15.3519492,73.7765476
Unnamed Island,15.8885266,73.46313
Unnamed Island,13.6412579,74.7315756
Uppinakudru,13.6596299,74.6900174
Basavaraja Durga,14.3139465,74.4021398
Vaikaramuraidhoo,6.541253,72.8953974
ނޮޅިވަރަމް,6.6625305,73.0824823
ނޭކުރެންދޫ,6.5430988,72.9797925
މަކުނުދޫ,6.4091973,72.7052087
ފުނަދޫ,6.1540224,73.2900644
ހޯރަފުށި,6.9758146,72.8930894
އުތީމު,6.8348961,73.1123677
Maakandoodhoo,6.2349489,73.2674323
ވައިކަރަދޫ,6.5499183,72.9530456
ފިނޭ,6.7459246,73.0534555
Mulidhoo,6.8359532,73.0109544
ފިއްލަދޫ,6.8969422,73.2282476
Uligan,7.0840292,72.9253004
ކަނޑިތީމު,6.44072,72.9159674
Keylakunu,6.6027907,73.0091467
މިލަންދޫ,6.28697,73.2444658
ހަނިމާދޫ,6.7513903,73.1660202
ނޮޅިވަރަންފަރު,6.6933299,73.1170524
Farukolhu,6.1899923,73.2962702
ކުޅުދުއްފުށި,6.6232292,73.0689344
ހއ. އިހަވަންދޫ,6.9530915,72.9263514
Theefaridhoo,6.7401885,73.0332752
މޮޅަދޫ,7.0154235,72.9968365
ބާރަށް,6.8168962,73.2076751
Unnamed Island,14.7112832,80.124789
Unnamed Island,14.816151,80.0851178
Unnamed Island,8.9742962,76.6074341
Unnamed Island,15.8697039,81.0075939
Unnamed Island,16.7196451,82.1021491
Unnamed Island,16.6983871,82.0674218
Unnamed Island,16.7148902,82.1424332
