name,latitude,longitude
Unnamed Lake,17.4389212,78.4716384
Raghaira Nala,32.6783106,71.8178979
Tarappi,32.6791159,71.8245841
Sembuwatta Lake,7.4402341,80.7171018
راول جھیل,33.7052244,73.1263505
Kalar Kahar Lake,32.7761542,72.7077
Unnamed Lake,8.7948628,76.6735241
Edava Nadayara Lake,8.7870089,76.6954981
Rajsamand Lake,25.0777563,73.8866473
Dheer Beel,26.2812172,90.3862759
Hulimavu Lake,12.8700925,77.6047511
Central Park Lake,22.5863594,88.4174478
曼冬错 སྨན་གདོང་མཚོ།,33.5364219,78.9097223
崩则错 བོང་མཚེའུ་མཚོ,32.0837898,88.669625
时补错,31.3921717,88.7237099
沉错 གྲེམས་མཚོ,28.9358628,90.5260763
Unnamed Lake,33.6077041,73.0350532
Saif-ul-Maluk Lake,34.8771941,73.6944231
Lulusar Lake,35.0835859,73.9284585
孜桂错 རྩིད་སྐུད་མཚོ།,31.375875,87.8973218
甲热布错 རྒྱ་རབ་བུལ་མཚོ།,32.19725,87.772375
Mahamodara Lake,6.0427989,80.2012867
Beira Lake,6.9244891,79.8456946
Beira Lake (East),6.9270991,79.8544515
Kasbewa Tank,6.7945817,79.9390911
উত্তরা লেক,23.8769319,90.3946141
উত্তরা লেক,23.8719028,90.3931026
উত্তরা লেক,23.8635967,90.3930305
Ukkadam Lake,10.9833432,76.9532168
गोसाइँकुण्ड,28.0825604,85.413529
Bhairab Kund,28.0804448,85.407375
लामु कुण्ड,28.0611813,85.3892532
Unnamed Lake,23.77737,90.4126887
গুলশান বারিধারা লেক,23.8013801,90.417337
Borith Lake,36.4307377,74.86241
增错 - Zing Co,28.2775696,90.2261567
玖如错 བྱུ་རུ་མཚོ,31.0046106,89.9211547
错那湖 མཚོ་ནག,32.0232392,91.4821219
懂错 མདུང་མཚ།,31.695625,91.15225
江错 ལྕགས་མཚོ།,31.5465,90.81675
纳卡错 ནམ་མཁའ་མཚོ,31.8575358,89.7886363
洋纳朋错 ཡན་རྣ་བུལ་མཚོ,32.3352133,89.7624555
Korattur Lake,13.1235262,80.1814033
Velachery Lake,12.9882439,80.211503
Unnamed Lake,28.6886113,85.9530122
浪强错 གླང་བྱང་མཚོ།,28.7201216,85.8774082
Madipakkam Lake,12.9613673,80.1909225
Puzhuthivakkam Lake,12.9685658,80.2021207
岗西错,28.3594605,85.8712771
安贡错 རྔ་གུང་མཚོ།,29.3961121,96.8277877
Unnamed Lake,29.2362651,96.8286141
朗错,29.2944261,96.8352981
哲古错 གྲི་གུ་མཚོ,28.6738939,91.675963
Sembakkam lake,12.9336624,80.1534105
Unnamed Lake,25.3051842,82.965997
Tilicho Lake,28.6910713,83.8526586
Local Lake,11.6490107,92.7432646
Unnamed Lake,33.0093169,78.2862719
Tso Startspuk,33.2568196,78.0428518
Unnamed Lake,32.9910792,78.3166291
Unnamed Lake,33.1368754,78.1973014
Unnamed Lake,33.3238463,77.9791427
Kyagar Tso,33.1064044,78.3044701
Unnamed Lake,33.2181091,78.9584708
Chomo Chonkar Lake,33.281476,78.2294585
Gandhi Sagar,21.1462562,79.0987399
Lower Kachura Lake,35.4266639,75.4552202
Nako Lake,31.8797435,78.627898
Chilling Tso,32.982125,78.594875
Ryul Tso,32.921,78.599625
打加错 སྟག་རྐྱལ་མཚོ,29.8529417,85.718625
许如错 ཞུ་རུ་མཚོ,30.276,86.415
冻果错 དོམ་མགོ་མཚོ,31.715,86.97925
张乃错 སྦྲང་སྣེ་མཚོ,31.5354631,87.3958406
戈木错 སྒོ་མོ་མཚོ།,33.66625,85.812875
Uchhali Lake,32.5570061,72.0263441
کھبیکی جھیل,32.6222999,72.2139323
Aakkulam Lake,8.5163911,76.8967184
申错 གསེར་མཚོ།,31.0104667,90.4824871
Saroor Nagar Lake,17.3539326,78.5270199
Carmelaram Lake,12.9178716,77.7104269
Ambalipura Upper Lake,12.9130792,77.6634671
Hebbagodi Lake,12.8309694,77.6744672
Maragondanahalli Lake,12.827387,77.6622467
Byrasandra Lake,12.9303518,77.5956618
Osman Sagar,17.3747047,78.2877656
Durgam Cheruvu,17.4310312,78.3899966
Shah Hatim Talab,17.3935438,78.4132429
Vadakkapattu Lake,12.9304605,80.1856076
Nanmangalam Lake,12.9393675,80.1670185
Nallacheruvu ( Uppal Mini Tank Bund ),17.4033524,78.5785299
Pedda Cheruvu,17.4210477,78.5538326
Koggala Lagoon,6.0023584,80.3308342
Kottanathan Lake,11.6126634,78.1190716
Lower Lake,23.2485028,77.4056347
Unnamed Lake,25.4645387,81.79487
冲巴芒错,28.2396663,89.6950331
冲巴雍错 གྲུམ་པ་གཡུ་མཚོ,28.2309095,89.6337352
Mullakathuva Cheruvu,17.4671801,78.3880688
IDPL Tank,17.4785739,78.412784
Madhabpur lake,24.2810458,91.8171242
Kankaria Lake,23.0062654,72.601205
Baridhara DOHS lake,23.8139738,90.4107925
Perur Lake,10.969843,76.9258326
Sengulam,10.95538,76.944367
کرمبر جھیل,36.8782924,73.7055947
IIT Lake,12.9965375,80.240256
Paravur Lake,8.8403134,76.6739683
Sasthamkotta Lake,9.043771,76.629305
Nagawara Lake,13.044942,77.6092802
Kallu Kuttai Lake,12.9790221,80.2359339
Unnamed Lake,7.529879,79.8124113
Alappakkam Madhuravoyal Eri,13.0519893,80.1643174
Boro Dighi,22.4350084,91.822093
Lunu Vila,8.4459399,80.0153504
Mahapathessa,8.4320858,80.0020561
Kudapathessa,8.4328612,79.9932643
Kokkare Vila,8.4174749,79.9877483
Periya Uppu Villu,8.4214564,79.8633033
Karukkanmaduwa Wewa,7.8688823,79.8797871
Kala Talao,19.246045,73.1313516
Kodaikanal Lake,10.2340079,77.486833
রমনা লেক,23.7366989,90.4012895
Kayalana Lake,26.3099444,72.9732901
Fateh Sagar,26.2967185,73.0291831
Panamarathupati Lake,11.5766398,78.1889113
Thamarai Kulam,13.2232486,80.3232862
Hoodi Lake,12.9871728,77.7228874
Chunchagatta Lake,12.8883029,77.5755623
Sandynulla Lake,11.4271283,76.6506698
Unnamed Lake,12.5518709,78.2379499
Unnamed Lake,12.4564931,78.2233658
Marakkanam Lake,12.239272,79.9688435
Nathapettai Yeri,12.8294676,79.7375169
Banani Lake West,23.78567,90.401811
Nagaraja aeri,13.10925,80.076375
Konimedu Lake,13.1824543,80.1526153
Vellanur aeri,13.1619966,80.1072145
Banani Lake West,23.7855326,90.4047722
Doddanekundi Lake,12.9753366,77.6878631
Kacharali Lake,19.1962556,72.9680675
Makhamali Talaav,19.1984698,72.9713682
Jail Lake,19.1997458,72.9805231
Bidarahalli Lake,13.0656501,77.7229607
Dore Kere,12.9026491,77.5510534
Upvan Lake,19.2214306,72.9560817
Mallathahalli Lake,12.9649919,77.4946388
芒错 མང་མཚོ,34.4936355,80.4468673
龙角错 ལྡན་འཛིན་མཚོ,34.4193494,80.5085743
涩聂湖,37.0557735,94.3113721
Chandra Tal Lake,32.4825076,77.6145605
Ngozumpa Tsho,28.0057357,86.6821086
Gyazumpa Tsho,28.0248388,86.6826642
উত্তরা লেক,23.867006,90.3928408
Sun Ye Lake,21.6779426,96.2281497
Hosakerahalli Lake,12.926961,77.5345406
Allalasandra Lake,13.09101,77.5874633
Tarabanahalli Lake,13.1835606,77.623114
Unnamed Lake,13.1312472,77.5211566
Unnamed Lake,13.1463864,77.5069222
Unnamed Lake,13.15406,77.5137376
Gummanahalli Lake,13.1395271,77.6888978
Bettakote Lake,13.2119174,77.7264695
Unnamed Lake,13.2830636,77.5535354
Unnamed Lake,13.2293685,77.7543291
Nagadasanahalli Lake,13.1608714,77.571778
Gantiganahalli Kere,13.1409325,77.5926318
Gantiganahalli Lake,13.1379707,77.5779641
Singapura Kere,13.0818715,77.5352826
Kogilu Lake,13.1098769,77.6182384
Hosakote lake,13.0744013,77.7664989
Kuluvanahally Kere,13.1768029,77.3039109
Unnamed Lake,34.0475199,74.3862399
Unnamed Lake,34.06252,74.381035
Unnamed Lake,34.063485,74.378495
Dhankar Tso,32.089937,78.228162
Amruthalli Lake,13.0614411,77.5981723
Unnamed Lake,13.1234509,77.65129
Thirumenahalli Lake,13.0926689,77.6284244
Chokkanahalli Lake,13.08473,77.6290699
错果错,30.1740209,94.3410456
仲错隆巴错 གྲོང་ཚོ་ལུང་པ་མཚོ,30.1244552,94.0906523
古内脚错,30.4310308,82.3614498
多庆错 མདོ་ཆེན་མཚོ།,28.1345407,89.3668497
嘎拉错,28.2789225,89.3410983
木地达拉玉错 མུ་ཏིག་མདའ་ལ་ཡུལ་མཚོ,30.5693415,88.5853415
越恰错 ཡོ་ཆགས་མཚོ,30.4673007,88.6126164
曾错 མཛོ་མཚོ,30.5914104,89.5798266
木纠错 སྨུག་ཆུ་མཚོ,31.067056,88.9426117
错加,31.9946247,91.3716474
热嘎错,27.9686966,89.3784587
那木清错,27.9602144,89.398546
那木琼错,27.9627529,89.4134331
通钦错和通穷错,27.9398991,89.3874392
Unnamed Lake,28.180456,89.5350069
蒂让碧错 དེའུ་རངས་བུལ་མཚོ།,33.0589512,89.068128
鄂纵错 ཨོག་ཚོམ་མཚོ,32.8587689,89.4649504
མཚོར་ཚྭ་ཁ། (雀尔茶卡),33.2172098,89.4955498
Unnamed Lake,29.1690192,90.1465716
然巴错,29.1485234,90.1558792
Unnamed Lake,29.121287,90.2990307
Unnamed Lake,29.2830354,90.1827182
Unnamed Lake,32.6837071,88.8831076
长湖,34.713388,89.03075
邦达错 པང་བཏགས་མཚོ,34.9230746,81.5610224
Unnamed Lake,35.6435046,86.1528354
Unnamed Lake,35.80025,86.46375
Unnamed Lake,35.7394785,86.1819632
Unnamed Lake,35.8474934,86.3599258
展翅湖,36.3104998,88.3978742
Unnamed Lake,36.2926257,88.389875
ཐའོ་མཚོ (桃湖),36.165625,89.32225
灵枝湖,36.1999045,89.0320233
朗布错,28.38525,90.31875
Karang Tuwi,28.518875,96.698875
吉布杰错,28.329375,91.9635
热多错,29.2988668,96.8125779
Unnamed Lake,29.7328027,96.5891063
Unnamed Lake,29.7833191,96.5162847
错嘎玛,30.7355967,94.76983
错纳玛,30.7248588,94.7680163
Unnamed Lake,29.9419708,96.7547249
玛错,29.9320436,96.7429125
仁错 རེའུ་མཚོ།,30.7176675,96.6753431
建错 བྱན་མཚོ།,28.8826516,92.1513168
阿扎错 ཨར་རྩ་མཚོ,30.6215964,93.180528
哈巴错,30.266895,93.4560976
Unnamed Lake,29.5111931,83.4423316
Unnamed Lake,29.4986846,83.4283844
朗日拉错,29.9857499,82.5363307
怡心湖（董木孜错）,33.0691251,79.1689538
沙尔达湖 ཤར་གཏད་མཚོ།,33.389953,79.374204
错嘎布,28.2304176,89.8875542
Unnamed Lake,35.09175,80.610375
Unnamed Lake,23.3099139,85.2579757
Unnamed Lake,23.302282,85.2574216
Unnamed Lake,13.0270202,77.6870884
Horamavu Lake,13.0240779,77.6672338
孔孔茶卡 ཁུང་ཁུང་ཚྭ་ཁ།,33.1617687,88.1248781
龙尾错 འབྲུག་མཇུག་མཚོ།,33.86375,88.300875
Madhumurali Lake,22.7120618,88.4984104
Devasandra lake,13.0017044,77.7031918
Kareri Lake (Not Drinkable),32.3256379,76.2738439
Unnamed Lake,12.9902249,77.8248872
Unnamed Lake,11.3450577,75.7879049
Ambalamedu,9.9854892,76.383603
Sheelavathana Kere,12.9644158,77.743701
Gangondanahalli Lake,13.0184866,77.4737705
Nainar Kulam,8.7362347,77.6902848
Bathalagoda Lake,7.5344685,80.456066
Unnamed Lake,7.8318869,81.0573543
Kottakarai,12.0104478,79.7985206
萨利吉勒干南库勒,34.683375,79.68
Unnamed Lake,22.5644819,88.4284634
Unnamed Lake,22.5653986,88.4196932
Unnamed Lake,22.5592238,88.4206033
Unnamed Lake,22.5574583,88.4259883
Unnamed Lake,22.5549263,88.4338223
Unnamed Lake,22.5538375,88.4409996
Unnamed Lake,22.5507562,88.4256551
Unnamed Lake,22.5487741,88.434026
Unnamed Lake,22.5432031,88.4346575
Unnamed Lake,22.5479882,88.4412989
Unnamed Lake,22.5461879,88.4262179
Unnamed Lake,22.5491842,88.4183244
Unnamed Lake,22.5508629,88.4122278
Vaddepally Lake,17.9955052,79.5215909
Lakaki Talav,18.5293373,73.8419378
Unnamed Lake,13.3201525,77.7188102
Tharalu Estate Lake,12.7844706,77.5361276
Adai lake,19.0052395,73.123303
Krishna Lake,18.9864507,73.1101087
Ballaleshwar Lake,18.9939659,73.1117598
Devikere,12.2376673,76.3330629
Develabelekere reservoir,14.3781452,75.8395717
Katraj Lake,18.4536001,73.861624
Talaku Kere,14.4438372,76.6823309
Unnamed Lake,14.2359979,76.3812139
Madan sagar Talab,25.015125,79.0375
Kadaba Kere,13.264286,76.886108
ကန္ေတာ္ေလး,22.0114931,96.4680235
Kava Lake,18.366,76.5696021
Unnamed Lake,34.2289831,74.6602281
Manasbal Lake,34.2505461,74.6704793
shedol lake,18.1881197,76.6418149
Unnamed Lake,34.1198486,74.8387202
Gil Sar,34.1225821,74.8032862
Unnamed Lake,24.9591465,83.301625
Unnamed Lake,16.8267539,79.5780652
Gangapurna Taal,28.6634452,84.0170191
Unnamed Lake,25.848875,84.1799749
Channarayapatna Lake,12.9157456,76.3989981
Attabad lake,36.3459853,74.8485841
Unnamed Lake,26.1615293,85.9082861
措日布者,30.6694696,83.6247665
Unnamed Lake,30.7102215,83.6080852
阿果错 ཨར་ཀོག་མཚོ,30.9788301,82.2313491
果普错 མགོ་ཕུག་མཚོ།,31.86175,83.183625
恰贡错 བྱ་སྒོང་མཚོ,34.4371472,82.3341929
Unnamed Lake,24.6583075,86.9227245
Kali Kund,32.3425844,76.3255446
Lam Dal,32.3355806,76.3322761
Manimahesh Dal,32.3949645,76.637321
Khundi Maral Dal,32.6207175,76.4053487
Wular Lake,34.3497526,74.5907002
Kasavanahalli Lake,12.9048414,77.6680258
Yaye Tso,33.3140929,78.4796071
Ordong Tso,33.4273905,78.4872604
Yusup Tso,33.4518137,78.4985042
Mitpal Tso,33.4667258,78.6103416
Lam Tso,32.7464289,78.5269416
Krishnampathi Lake,11.0013803,76.914472
Unnamed Lake,17.1490153,79.6128758
Unnamed Lake,12.8160424,80.0458387
Golakata Pukur,23.6224553,90.4984742
Khilgaon Graveyard Lake,23.7523432,90.4283161
Unnamed Lake,23.7551952,90.4242889
Thamsar Dali,32.2215956,76.7796843
Thamsar Dali,32.2435441,76.7868462
Kaliheni Lake,32.2164376,77.0308058
Channashettihalli,13.3259512,76.9305701
Harivesandra,13.326808,76.9224316
Meiktila Lake,20.8684157,95.8545003
राजा कुण्ड,28.0536876,85.397715
सूर्य कुण्ड,28.0717562,85.4280481
नौ कुण्ड,28.0495306,85.394977
Jyakunchuli Kund,28.0392898,85.3977236
Ganesh Kund,28.1246737,85.4690187
आमा कुण्ड,28.0659539,85.4228037
झ्याकुङ् कुण्ड,28.0296063,85.3968962
Sursagar,22.3008035,73.2037488
Sanjay Lake,28.6155347,77.2997496
Unnamed Lake,28.720197,77.1185532
Gompa Lake,32.9477494,76.8893978
齐格错 བྱིའུ་སྐད་མཚོ,31.1885156,85.5337781
Veeranam Lake,11.3445391,79.528576
Nesavalar Nagar Lake,12.9129973,80.2001602
Chitrerari Lake,12.909069,80.1709087
Ram Tal,29.3497489,79.5328431
Pruna Tal,29.3530968,79.5245218
Unnamed Lake,29.3255616,79.5823674
Seeta Tal,29.3508649,79.5296288
Naukuchhiatal,29.3226492,79.5856349
Garur Taal,29.3567879,79.5309371
Naini Lake,29.385561,79.4592271
Khajjiar,32.5464073,76.0580036
黑力错,29.8965338,94.4602594
Unnamed Lake,29.9164424,94.2801657
江达错,29.9870123,94.436405
久热错,30.0124826,94.471624
རུ་མོ་ཁྲེང་མཚོ། / 加木称错,33.7380801,90.6399841
葫芦湖,34.4225,91.020625
Unnamed Lake,8.5121459,76.9540802
Charachira kulam,8.5164439,76.9496917
Wendaru Wewa,7.4663087,80.3800616
Dehigahakumbura Wewa,7.6101582,80.5274291
"Vodra Lake, Rajshahi",24.3771417,88.6191575
Timmidkunta Lake,17.4571449,78.3808643
Hamirsar Lake,23.2517102,69.6644524
Lakhota Lake,22.4648959,70.0691619
Lakhota Lake,22.4666825,70.062565
Manas Lake,18.4953412,73.7354536
Garudacharpalya Lake,12.9909295,77.6957012
Thandurai aeri,13.1160212,80.0560661
Kolathur Lake,13.1282577,80.2129191
Alleri Tank,12.9408843,80.1190628
Parakkai Lake,8.1477688,77.4545872
Kadapakkam Tank,13.2008861,80.2527498
Classic Farms Lake 2,12.8868484,80.2210395
Tar Sar,34.139579,75.1488626
Kurunegala Lake,7.4944415,80.3622339
Hithokadawala Wewa,7.859108,80.2669966
Kirimetiwatta Wewa,7.8648863,80.2623676
Unnamed Lake,31.919408,86.1686902
Unnamed Lake,31.9334646,87.8919974
Unnamed Lake,31.8021948,86.151703
哦坐错 སྔོ་ཚོ་མཚོ,32.1384698,86.502888
八乌错 བལ་བུལ་མཚོ,32.2225952,85.553906
আমতলী লেক,22.1378731,90.2316403
