name,latitude,longitude
کابل سيند,34.4727305,69.1644086
Hmaw Wun Creek,16.6480667,96.4012097
Unnamed River,16.7722133,96.5884916
Unnamed River,16.750139,96.5165929
Unnamed River,16.7357232,96.5102663
Unnamed River,16.7126126,96.5181331
Unnamed River,17.3351981,96.1675022
Unnamed River,17.17529,96.2203805
ငမိုးရိပ်ချောင်း,17.0983442,96.2240961
堆龙曲,29.8600158,90.7472034
拉萨河,29.5777292,90.9968196
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.2628985,91.8667546
拉萨河,29.5679501,91.0139817
雅鲁藏布江 ཡར་ཀླུངས་གཙང་པོ།,29.3335503,90.7634763
拉萨河,29.4691573,90.9437621
拉萨河,29.7609109,91.4301995
堆龙曲,29.6863734,90.896895
ghatte Khola,27.7494278,85.3935718
Hanumante,27.6737901,85.390653
Unnamed River,27.7118734,85.3391247
Kepu Ela,6.0720547,80.1889573
Hispar River,36.2077739,74.8933136
Shimshāl River,36.420696,75.3461024
Hunza River,36.3563226,74.8016798
Hunza River,36.6520511,74.8376848
Kilik River,36.7807911,74.7692863
Mintaka River,36.9686913,74.7781923
Gharesa Stream,36.2630834,74.8212943
Bola Dās River,36.2913099,74.3226221
Unnamed River,36.4469849,74.313733
Naltar Gah,36.185356,74.1983008
Unnamed River,36.2844968,74.1092843
Phakor Gol,36.3701699,73.9215725
Ishkoman River,36.4104185,73.9007689
دریائے گلگت,36.1528192,73.8560649
Shyok River,34.8565233,77.0241783
دریائے سندھ,34.4632841,76.6740883
Gumri Nala,34.3733537,75.6465764
دریائے سندھ,34.0036472,72.4612073
دریائے سواں,33.0641524,71.9512432
سندھ,32.7069724,71.4886458
دریائے سندھ,29.8187814,70.7604396
دریائے سندھ,24.4860532,67.8479093
دریائے سواں,33.5132469,73.0814207
Nala Lai,33.692692,73.033178
دریائے سندھ,33.9469568,72.3447512
Unnamed River,33.923288,72.2740705
دریائے سندھ,33.9827533,72.3948135
دریائے سندھ,33.9954126,72.4894145
Unnamed River,33.9091258,72.2603367
کابل سيند,34.5411041,69.3139982
کابل سيند,34.6409801,69.7172206
کابل سيند,34.5399981,69.9291537
Kunar کونړ,34.5958219,70.7072899
کورنگ ندی,33.6245847,73.1289905
اپر جہلم نہر,32.5755472,73.9206199
اپر جہلم نہر,32.8672978,73.7216998
رسول قادرآباد لنک نہر,32.5086712,73.6196674
قادرآباد بلوکی لنک نہر,31.7000084,73.844033
نہر اپر چناب,32.4994206,74.3838271
نہر اپر چناب,31.7724214,74.1144999
Unnamed River,32.0134885,74.1691539
نہر اپر چناب,32.2311725,74.2486224
نہر مرالہ راوی لنک,32.4222556,74.5260437
نہر مرالہ راوی لنک,32.0234566,74.6418003
دریای لوگر,34.4230115,69.2047071
دریای لوگر,34.3171586,69.1744309
Unnamed River,34.2924349,69.2957055
دریائے سواں,33.2162241,72.6119445
دریائے سواں,33.1352119,72.3403406
Hudiara Drain,31.3925283,74.2341643
روہڑی نہر,27.551769,68.7496309
Nara Canal,27.6519517,68.911045
Nara Canal,26.7807761,68.9308187
Nara Canal,27.1446839,68.9753123
Nara Canal,27.4874822,69.0035209
دریائے راوی,32.137664,75.2564027
دریائے سواں,33.6318778,73.2237119
دریائے سواں,33.7964743,73.4110506
Polwatta Ganga,6.0274227,80.4097524
دریائے جہلم,34.1215493,74.0898842
Kallada,9.0577953,76.7290996
Kallada,9.0223511,76.9336239
کورنگ ندی,33.7864938,73.2506139
North River,13.0789154,80.2737697
دریائے جہلم,34.3445711,74.5621508
لوئر جہلم کینا- شمالی برانچ,31.8837615,72.6730802
Unnamed River,26.7371493,91.1073983
Pavana River,18.5892999,73.8176955
Mutha,18.4872264,73.8121238
Mula,18.5570371,73.692432
نالہ لئ,33.6595734,73.0562179
Bhima,18.6161611,74.1862784
Adyar River,12.9834211,80.1356486
Unnamed River,34.1317401,81.0992717
容玛藏布,33.902144,81.9085366
دریائے سندھ,28.0962248,69.2229545
Kuda Gaga,6.617922,80.2107582
Amayizhanchan Thodu,8.5108431,76.9411113
Unnamed River,7.0292626,80.5343019
کابل سيند,34.6136149,69.7466263
دریای علینگار,34.8998867,70.3723944
Unnamed River,35.0179856,70.4283429
Sakardara,35.1709339,70.2604956
Cheyyāru,12.7128321,79.745788
Haro River,33.8688906,73.0826824
Lora River,33.8969282,73.239212
دریائے ہرو,33.7753231,72.3875307
نندنا,33.6908295,72.4925425
نندنا,33.6365683,72.6325762
Unnamed River,33.5786246,72.7066287
တွံတေး တူးမြောင်း,16.7035803,95.9674564
ကမာအောင်ချောင်း,16.7387777,96.1526239
မြစ်ငယ်,22.1029043,96.8619275
မြစ်ငယ်,21.805164,96.6195606
မြစ်ငယ်,21.7655756,96.2865984
তুরাগ নদী,23.8903496,90.4105098
نندنا,33.7125419,72.3871432
Unnamed River,16.60436,95.8488446
Unnamed River,15.9104523,94.4317646
Wakema River,16.6308341,95.2133455
Unnamed River,15.9601503,94.4617052
Unnamed River,15.9768926,94.419105
Unnamed River,15.9560046,94.5805581
Unnamed River,15.9704233,94.5872911
